"save_number"	"data/Scratch_Conf_data/Aug 8-assessment"	"data/Scratch_Conf_data/Dance Party Remixes"	"data/Scratch_Conf_data/scratch assessment"	"data/Scratch_Conf_data/5"	"data/Scratch_Conf_data/1"	"data/Scratch_Conf_data/maze-game-w-levels"	"data/Scratch_Conf_data/2"	"data/Scratch_Conf_data/2mazegamesdifferentmusic"	"data/Scratch_Conf_data/Alma"	"data/Scratch_Conf_data/simon"	"data/Scratch_Conf_data/Gaby"	"data/Scratch_Conf_data/Anne"	"data/Scratch_Conf_data/3"	"data/Scratch_Conf_data/steve"	"data/Scratch_Conf_data/4"	"data/Scratch_Conf_data/Gobo"	"data/Scratch_Conf_data/Poptart Land"	"data/Scratch_Conf_data/Alexis"
0	0.2	0.6	1.0	0.5263157894736842	0.28	0.125	0.8157894736842105	0.5263157894736842	1.0	0.0	0.5384615384615384	1.0	0.5483870967741935	0.46153846153846156	0.21052631578947367	0.75	0.53125	0.5555555555555556
1	0.25	0.6363636363636364	0.5	null	null	0.125	null	0.5454545454545454	null	0.0	null	1.0	null	0.46153846153846156	null	0.2777777777777778	0.7647058823529411	0.5555555555555556
2	0.2	0.6363636363636364	1.0	null	null	0.125	null	null	null	0.0	null	1.0	null	null	null	null	null	0.6
3	0.2	0.6363636363636364	1.0	null	null	0.125	null	null	null	0.0	null	1.0	null	null	null	null	null	0.5
4	0.2	0.7777777777777778	1.0	null	null	0.125	null	null	null	0.0	null	1.0	null	null	null	null	null	0.5
5	null	null	1.0	null	null	0.125	null	null	null	0.0	null	1.0	null	null	null	null	null	null
6	null	null	0.5	null	null	null	null	null	null	null	null	1.0	null	null	null	null	null	null
7	null	null	0.5	null	null	null	null	null	null	null	null	1.0	null	null	null	null	null	null
8	null	null	0.5	null	null	null	null	null	null	null	null	1.0	null	null	null	null	null	null
9	null	null	0.3333333333333333	null	null	null	null	null	null	null	null	1.0	null	null	null	null	null	null
10	null	null	null	null	null	null	null	null	null	null	null	1.0	null	null	null	null	null	null
11	null	null	null	null	null	null	null	null	null	null	null	1.0	null	null	null	null	null	null
12	null	null	null	null	null	null	null	null	null	null	null	1.0	null	null	null	null	null	null
13	null	null	null	null	null	null	null	null	null	null	null	1.0	null	null	null	null	null	null
14	null	null	null	null	null	null	null	null	null	null	null	1.0	null	null	null	null	null	null
